player,team,games_played,mpg,ppg,rpg,apg,espn_id
Javohn Garcia,McNeese,29,29.4,12.0,3.1,1.6,4701125
DJ Richards Jr.,McNeese,33,22.1,8.3,2.0,0.7,5106843
Garwey Dual,McNeese,33,26.3,8.2,2.8,4.3,5077373
Jerrell Colbert,McNeese,33,19.4,5.8,4.0,0.5,4433273
Jacolb Fredson-Cole,McNeese,33,18.9,5.5,4.1,1.5,5238222
Carl Cherenfant,McNeese,32,16.8,4.3,3.1,0.9,4711271
Peitok Machar,McNeese,33,12.7,3.6,3.2,0.1,5313569
Yanis Ndjonga,McNeese,27,10.7,2.5,3.5,0.1,5175027
JJ Rembert,McNeese,8,4.6,0.5,0.0,1.5,5186554
Malik Reneau,Miami FL,33,28.5,18.8,6.6,2.0,5105798
Tre Donaldson,Miami FL,33,33.9,16.5,3.5,5.8,4837356
Shelton Henderson,Miami FL,33,30.8,13.7,4.8,2.0,5101809
Tru Washington,Miami FL,29,27.6,12.1,3.9,1.7,4845368
Ernest Udeh Jr.,Miami FL,31,27.8,6.9,9.3,0.5,5106261
Dante Allen,Miami FL,28,23.8,6.4,2.8,2.2,5142709
Marcus Allen,Miami FL,8,19.0,5.3,3.1,1.6,4869762
Timotej Malovec,Miami FL,31,15.7,4.5,1.4,0.9,5281366
Noam Dovrat,Miami FL,26,9.7,3.8,0.5,1.1,5311986
Salih Altuntas,Miami FL,32,7.8,1.6,1.9,0.1,5311984
John Laboy II,Miami FL,6,4.2,1.2,0.2,0.5,5311985
Jordyn Kee,Miami FL,8,3.0,0.4,0.4,0.4,5214525
Peter Suder,Miami OH,31,30.9,14.6,4.6,4.0,5106674
Brant Byers,Miami OH,32,30.4,14.2,4.1,0.6,5243053
Evan Ipsaro,Miami OH,12,27.9,13.9,2.4,3.3,5176212
Eian Elmer,Miami OH,32,30.5,12.6,6.0,1.2,5093252
Luke Skaljac,Miami OH,30,28.0,10.3,3.0,4.7,5101653
Antwone Woolfolk,Miami OH,31,23.4,10.3,5.5,1.5,5105859
Almar Atlason,Miami OH,32,18.8,10.1,2.4,1.0,5176313
Justin Kirby,Miami OH,19,16.8,6.4,3.3,0.6,5313370
Trey Perry,Miami OH,30,13.1,6.0,1.5,1.3,5313368
Tyler Robbins,Miami OH,27,5.8,3.1,1.9,0.3,5313371
Kyle Waltz,Miami OH,21,7.4,3.0,1.3,0.6,5313373
Brady Ganley,Miami OH,6,2.5,1.8,0.5,0.3,5313369
Eli Yofan,Miami OH,2,7.0,1.5,0.0,0.5,5108031
Ethan Wright,Miami OH,5,2.0,1.4,0.8,0.0,5243054
Jackson Kotecki,Miami OH,5,5.8,1.2,1.6,0.4,5176215
Yaxel Lendeborg,Michigan,34,30.2,14.6,7.0,3.2,5175737
Morez Johnson Jr.,Michigan,34,25.1,13.1,7.2,1.1,4873153
Aday Mara,Michigan,34,23.1,11.6,6.9,2.3,5174983
Elliot Cadeau,Michigan,34,26.4,10.2,2.6,5.6,4869764
Trey McKenney,Michigan,34,21.5,9.6,2.6,0.9,5041954
L.J. Cason,Michigan,28,18.6,8.4,1.9,2.4,5214641
Nimari Burnett,Michigan,34,19.4,8.3,2.4,1.1,4433138
Roddy Gayle Jr.,Michigan,33,20.4,7.0,3.2,1.4,5105836
Will Tschetter,Michigan,34,13.9,3.9,1.9,0.6,4684596
Winters Grady,Michigan,9,5.6,2.9,1.1,0.2,5174808
Oscar Goodman,Michigan,12,6.3,1.4,1.5,0.5,5244505
Malick Kordel,Michigan,11,4.9,1.4,1.8,0.2,5311988
Charlie May,Michigan,4,3.5,1.0,0.3,0.3,5106648
Howard Eisley Jr.,Michigan,5,1.4,0.6,0.0,0.0,5239559
Jeremy Fears Jr.,Michigan St.,32,32.2,15.7,2.4,9.2,4711255
Jaxon Kohler,Michigan St.,32,27.8,12.7,9.0,1.3,5105815
Coen Carr,Michigan St.,32,29.0,11.6,5.4,1.3,4872740
Carson Cooper,Michigan St.,32,26.4,10.8,7.1,1.4,5105817
Kur Teng,Michigan St.,32,17.5,7.7,2.1,1.0,4873111
Jordan Scott,Michigan St.,32,20.7,5.9,3.1,1.2,5196931
Divine Ugochukwu,Michigan St.,22,16.1,5.1,1.5,1.5,5060733
Cam Ward,Michigan St.,31,15.2,5.0,4.3,0.3,5101798
Trey Fort,Michigan St.,30,10.0,3.8,1.2,0.6,4703411
Jesse McCulloch,Michigan St.,27,7.5,2.4,1.3,0.2,5239562
Nick Sanders,Michigan St.,13,1.6,0.5,0.1,0.1,5105818
Brennan Walton,Michigan St.,11,1.5,0.5,0.4,0.0,5239563
Denham Wojcik,Michigan St.,28,5.5,0.4,0.3,1.2,4610138
Colin Walton,Michigan St.,11,1.4,0.3,0.3,0.0,5239564
Mark Mitchell,Missouri,32,33.7,18.3,5.3,3.6,4433285
Jayden Stone,Missouri,25,29.9,13.2,5.0,1.9,4432196
Trent Pierce,Missouri,19,28.5,10.6,3.8,1.1,5037881
T.O. Barrett,Missouri,32,23.0,8.9,2.7,3.1,5144166
Anthony Robinson II,Missouri,32,27.0,8.8,3.1,2.9,5054085
Jacob Crews,Missouri,32,20.7,8.6,3.7,0.3,4432515
Shawn Phillips Jr.,Missouri,30,20.3,7.7,5.1,0.7,5105537
Sebastian Mack,Missouri,18,16.3,7.0,1.3,0.6,4711270
Jevon Porter,Missouri,12,17.4,6.2,4.0,1.6,4684798
Luke Northweather,Missouri,19,12.9,3.1,2.5,0.6,5106269
Annor Boateng,Missouri,15,11.5,2.7,1.8,0.3,5238218
Trent Burns,Missouri,21,8.1,2.0,1.9,0.1,5169569
Nicholas Randall,Missouri,21,5.7,0.7,1.0,0.1,5144151
Paul McNeil Jr.,N.C. State,33,28.5,13.9,3.6,0.8,4873151
Quadir Copeland,N.C. State,33,28.6,13.9,3.5,6.6,4683860
Ven-Allen Lubin,N.C. State,33,28.3,13.9,7.2,0.8,4684799
Darrion Williams,N.C. State,32,29.8,13.8,4.6,2.8,4937074
Tre Holloman,N.C. State,31,25.6,9.3,1.8,2.0,5105816
Matt Able,N.C. State,33,21.6,9.0,3.5,1.0,5196877
Jerry Deng,N.C. State,8,12.6,6.1,2.1,0.4,5174958
Alyn Breed,N.C. State,21,14.8,4.5,1.9,1.3,4585590
Terrance Arceneaux,N.C. State,29,16.1,3.9,2.7,0.5,5106059
Musa Sagnia,N.C. State,33,12.5,2.4,2.8,0.2,5311995
Scottie Ebube,N.C. State,16,4.2,1.2,1.0,0.0,4897482
Jordan Snell,N.C. State,8,2.3,0.8,0.3,0.3,5105430
Colt Langdon,N.C. State,6,2.8,0.3,0.2,0.0,5142707
Pryce Sandfort,Nebraska,32,33.3,17.8,4.8,2.0,4858604
Rienk Mast,Nebraska,31,28.9,13.5,5.8,2.9,4592677
Braden Frager,Nebraska,30,23.3,11.6,3.8,0.9,5239571
Jamarques Lawrence,Nebraska,32,28.2,9.7,2.5,4.0,5105825
Sam Hoiberg,Nebraska,32,32.1,9.6,5.3,4.3,4897432
Ugnius Jarusevicius,Nebraska,1,11.0,7.0,2.0,0.0,5108721
Berke Buyuktuncel,Nebraska,30,24.0,6.4,5.4,1.9,5174982
Connor Essegian,Nebraska,7,14.0,5.4,1.3,0.9,5105861
Cale Jacobsen,Nebraska,32,20.3,4.8,2.9,1.4,5105827
Jared Garcia,Nebraska,27,8.5,3.1,2.2,0.3,4702740
Leo Curtis,Nebraska,15,3.9,1.7,0.6,0.3,5263670
Kendall Blue,Nebraska,18,3.6,0.7,0.3,0.2,5109018
Justin Bolis,Nebraska,16,1.4,0.2,0.3,0.1,5239573
Caleb Wilson,North Carolina,24,31.3,19.8,9.4,2.7,5095151
Henri Veesaar,North Carolina,30,31.1,16.7,8.7,2.0,5105571
Seth Trimble,North Carolina,23,32.0,14.0,3.6,2.8,4712836
Luka Bogavac,North Carolina,32,24.1,9.8,2.5,2.2,5312014
Jarin Stevenson,North Carolina,32,25.6,8.0,4.4,0.9,4873181
Derek Dixon,North Carolina,32,21.7,6.4,2.3,2.6,5144097
Jonathan Powell,North Carolina,32,16.2,4.8,2.3,0.8,5101669
Kyan Evans,North Carolina,32,18.0,4.1,1.2,2.6,5093253
Zayden High,North Carolina,28,9.1,3.4,2.8,0.5,4895793
Isaiah Denis,North Carolina,10,3.4,1.9,0.6,0.1,5217193
Jaydon Young,North Carolina,30,7.3,1.8,0.9,0.4,4711266
Evan Smith,North Carolina,5,1.6,1.4,1.0,0.6,5312013
James Brown,North Carolina,9,5.6,1.2,1.4,0.3,4869763
Elijah Davis,North Carolina,6,1.7,0.5,0.2,0.0,5116699
Ivan Matlekovic,North Carolina,4,1.3,0.5,0.0,0.0,5241596
John Holbrook,North Carolina,5,1.6,0.2,0.6,0.0,5238173
Damari Wheeler-Thomas,North Dakota St.,31,30.5,14.4,3.5,2.8,5107273
Trevian Carson,North Dakota St.,34,31.5,12.0,6.4,2.8,5314778
Markhi Strickland,North Dakota St.,34,24.5,11.8,3.5,1.3,4432494
Treyson Anderson,North Dakota St.,34,18.2,10.4,5.4,0.8,5241642
Noah Feddersen,North Dakota St.,34,21.2,9.4,5.1,1.0,5107278
Andy Stefonowicz,North Dakota St.,34,32.4,9.2,3.1,4.9,5241640
Tay Smith,North Dakota St.,34,19.9,7.7,2.6,0.9,4901166
Emil Skytta,North Dakota St.,25,12.0,3.7,1.8,0.7,5108046
Carson Smith,North Dakota St.,23,10.3,3.1,1.4,0.2,5241641
Riley Saunders,North Dakota St.,8,2.0,1.9,0.3,0.3,5314780
Riley Massey,North Dakota St.,32,8.3,1.4,1.0,0.5,5314779
Max Majerle,North Dakota St.,17,5.7,1.1,0.9,0.5,5108047
Caleb Schoenrock,North Dakota St.,8,2.1,0.3,0.5,0.1,5314782
Trey Campbell,Northern Iowa,35,33.4,13.7,3.8,3.9,5107887
Leon Bond III,Northern Iowa,35,32.8,11.9,4.8,1.5,4838704
Will Hornseth,Northern Iowa,34,26.3,11.2,4.6,2.2,5241409
Ben Schwieger,Northern Iowa,35,27.7,9.9,4.6,1.9,4897474
Tristan Smith,Northern Iowa,27,20.8,9.1,5.1,1.9,5315806
Max Weisbrod,Northern Iowa,31,27.8,6.5,2.5,2.0,5241408
Kyle Pock,Northern Iowa,33,13.0,3.8,1.0,0.2,5176385
Ismael Diouf,Northern Iowa,34,10.8,3.1,1.3,1.0,5238171
RJ Taylor,Northern Iowa,29,11.1,2.7,1.0,1.2,5176384
Geon Hutchins,Northern Iowa,34,7.7,1.5,1.2,0.2,5315804
Chase Courbat,Northern Iowa,16,3.1,1.0,0.6,0.1,4897480
Hunter Jacobson,Northern Iowa,11,1.5,0.3,0.1,0.0,5107889
Bruce Thornton,Ohio St.,33,36.5,20.2,5.1,3.9,5105837
John Mobley Jr.,Ohio St.,30,31.4,15.7,2.4,2.7,5060708
Devin Royal,Ohio St.,31,32.3,13.7,5.7,1.7,4895776
Christoph Tilly,Ohio St.,31,25.9,11.0,4.7,2.2,5109790
Amare Bynum,Ohio St.,33,28.3,9.7,4.8,1.1,5196946
Brandon Noel,Ohio St.,15,20.0,7.1,3.9,0.9,4702994
Taison Chatman,Ohio St.,27,13.2,4.5,1.2,0.9,4685646
Ivan Njegovan,Ohio St.,29,11.8,2.7,3.1,0.7,5239599
Puff Johnson,Ohio St.,9,11.4,2.3,1.1,0.1,4701846
Gabe Cupps,Ohio St.,32,12.5,1.6,1.2,1.1,4845387
Mathieu Grujicic,Ohio St.,6,5.3,1.0,0.8,0.3,5290629
Colin White,Ohio St.,29,8.7,0.9,1.0,0.4,5101675
Braylen Nash,Ohio St.,6,1.2,0.0,0.0,0.2,5239598
Ethan Roberts,Penn,23,30.5,16.9,3.9,2.3,5108811
TJ Power,Penn,29,35.3,16.8,7.9,2.4,4684843
Michael Zanoni,Penn,29,28.8,11.6,2.0,0.7,5108877
AJ Levine,Penn,29,24.6,8.3,3.2,4.0,5241732
Dalton Scantlebury,Penn,28,15.6,6.0,4.0,0.6,5314646
Cam Thrower,Penn,26,16.7,5.7,1.5,1.3,5107164
Augustus Gerhart,Penn,29,20.0,5.6,4.8,1.0,5182415
Jay Jones,Penn,26,13.8,3.9,2.3,1.2,5314644
Lucas Lueth,Penn,28,15.9,3.0,3.0,0.6,5314648
William Kruse,Penn,2,4.0,2.5,2.5,0.0,5314649
Dylan Williams,Penn,7,8.7,2.1,1.0,1.6,5241734
Michelangelo Oberti,Penn,11,4.0,2.0,1.1,0.1,5241736
Alex Massung,Penn,9,5.8,1.7,0.7,0.6,5241733
Niklas Polonowski,Penn,22,5.6,1.2,0.5,0.2,5182416
Payton Kamin,Penn,4,3.5,1.0,0.3,0.3,5314647
Johnnie Walter,Penn,4,5.3,0.5,0.8,0.0,5108098
Bradyn Foster,Penn,1,3.0,0.0,0.0,0.0,5241735
Dontae Horne,Prairie View A&M,35,31.8,20.2,4.5,3.1,5176727
Tai'Reon Joseph,Prairie View A&M,27,30.6,18.2,2.4,1.0,4703215
Cory Wells,Prairie View A&M,35,33.0,13.1,7.1,2.2,4904928
Lance Williams,Prairie View A&M,35,35.3,10.1,3.2,3.3,4904931
Doug Young,Prairie View A&M,3,26.3,9.3,2.3,1.7,5177138
Joey Madimba,Prairie View A&M,25,18.4,8.7,3.6,0.6,4705371
Marcel Bryant,Prairie View A&M,13,12.8,6.5,2.8,0.3,5177019
Keeshawn Mason,Prairie View A&M,27,16.2,4.9,3.0,0.3,5247621
Hassane Diallo,Prairie View A&M,26,9.4,2.8,2.5,0.2,5190922
Elijah Mitchell,Prairie View A&M,26,11.5,2.5,1.5,0.5,5314805
Jannoy Thomas,Prairie View A&M,29,10.5,2.3,1.3,0.6,5314804
Seryee Lewis,Prairie View A&M,4,6.5,2.0,1.3,0.0,5243098
Isaiah Foster,Prairie View A&M,6,3.7,1.7,0.8,0.3,5243361
Ryan Bolton Jr.,Prairie View A&M,17,4.5,1.3,1.6,0.1,5176729
Corey Dunning,Prairie View A&M,32,17.8,1.2,3.4,0.6,4904924
Braden Smith,Purdue,35,34.3,14.0,3.6,9.1,5105854
Fletcher Loyer,Purdue,35,29.0,13.8,2.3,2.1,5105853
Trey Kaufman-Renn,Purdue,33,27.9,13.6,8.5,2.6,4897438
Oscar Cluff,Purdue,35,24.1,10.6,7.4,1.7,5174973
C.J. Cox,Purdue,35,24.4,8.3,2.6,1.3,5175591
Daniel Jacobsen,Purdue,35,13.6,6.0,3.3,0.4,5144147
Omer Mayer,Purdue,35,14.5,5.7,1.1,1.2,5312035
Jack Benter,Purdue,34,15.0,4.8,2.7,0.8,5102618
Gicarri Harris,Purdue,35,15.9,4.7,1.6,0.9,5101658
Liam Murphy,Purdue,11,7.5,2.3,1.0,0.3,4702975
Aaron Fine,Purdue,9,2.3,1.2,0.0,0.3,5239503
Jace Rayl,Purdue,8,2.0,0.0,0.0,0.0,5174804
Jack Lusk,Purdue,9,1.9,0.0,0.3,0.0,5239504
Nasir Mann,Queens,34,30.4,13.4,5.8,2.7,5176643
Yoav Berman,Queens,34,29.3,12.6,3.9,3.7,5240006
Jordan Watford,Queens,34,20.6,11.9,2.6,3.8,5144110
Chris Ashby,Queens,34,30.6,11.7,2.0,1.5,5107088
Avantae Parker,Queens,34,22.1,11.3,5.3,1.1,5176801
Carson Schwieger,Queens,33,24.5,10.2,3.2,0.8,5177217
Maban Jabriel,Queens,34,19.8,7.6,3.8,1.0,5240005
Gus Larson,Queens,34,11.8,3.1,2.1,0.6,4898223
Isaiah Henry,Queens,25,8.0,2.9,1.7,0.4,5196932
Kam Clark,Queens,26,7.2,1.7,1.0,0.3,5314491
Reid Celestin,Queens,16,2.5,0.2,0.6,0.2,5314490
Jacob Brandly,Queens,1,1.0,0.0,0.0,0.0,5240007
Colby Christiansen,Queens,1,0.0,0.0,0.0,0.0,5240008
Tyler Crider,Queens,9,1.0,0.0,0.0,0.1,5314493
Boopie Miller,SMU,32,35.2,19.2,3.9,6.4,4898283
Jaron Pierre Jr.,SMU,33,33.0,17.6,4.9,2.0,4703115
B.J. Edwards,SMU,28,33.2,12.7,5.9,4.9,5105552
Corey Washington,SMU,33,27.5,11.3,4.9,0.8,5110039
Samet Yigitoglu,SMU,33,28.9,10.8,7.9,1.6,5238184
Jaden Toombs,SMU,26,19.4,7.8,4.3,1.2,5101840
Jermaine O'Neal Jr.,SMU,33,15.2,4.6,2.1,0.4,5312289
Sam Walters,SMU,23,9.0,2.5,0.9,0.3,4683781
Mitchell Holmes,SMU,25,5.4,1.7,0.9,0.2,5238182
B.J. Davis-Ray,SMU,31,7.2,1.3,0.7,0.4,5041938
Chance Puryear,SMU,13,2.8,0.3,0.5,0.0,5144391
Nigel Walls,SMU,9,3.4,0.0,0.2,0.2,5101828
Trey Utter,SMU,2,2.0,0.0,0.0,0.0,5106638
Niccolo Kalischer-Stork,SMU,2,0.5,0.0,0.0,0.0,5238183
Robbie Avila,Saint Louis,33,26.2,12.9,4.5,4.1,4917097
Trey Green,Saint Louis,32,23.7,11.1,2.8,1.7,4711258
Dion Brown,Saint Louis,33,23.5,11.1,5.5,1.5,5107242
Amari McCottry,Saint Louis,32,22.6,10.3,5.2,2.8,5239707
Kellen Thames,Saint Louis,31,17.3,9.9,4.8,1.9,5105980
Quentin Jones,Saint Louis,33,26.5,9.2,3.9,2.9,5175171
Ishan Sharma,Saint Louis,33,22.2,9.1,2.6,1.6,5183809
Brady Dunlap,Saint Louis,32,16.9,6.8,2.1,0.8,4685659
Paul Otieno,Saint Louis,33,15.5,5.2,3.9,0.9,5107797
Jax Kerr,Saint Louis,17,6.6,2.9,1.9,0.2,5236225
Cam Hutson,Saint Louis,17,5.5,1.9,1.0,0.2,5254323
Isaac Holmes,Saint Louis,13,2.8,0.8,0.7,0.3,5107907
Jaden Schertz,Saint Louis,12,3.0,0.7,0.5,0.1,5107905
Paulius Murauskas,Saint Mary's,32,32.4,18.8,7.7,2.2,5174955
Mikey Lewis,Saint Mary's,32,26.9,14.2,2.8,2.2,5240980
Joshua Dent,Saint Mary's,32,36.2,13.0,2.4,5.7,5183875
Andrew McKeever,Saint Mary's,32,23.0,8.4,9.2,1.7,5176481
Dillan Shaw,Saint Mary's,32,27.3,7.5,5.3,1.6,5313031
Harry Wessels,Saint Mary's,31,16.8,4.9,5.2,0.6,5105418
Liam Campbell,Saint Mary's,32,14.3,4.6,1.7,0.5,5101655
Tony Duckett,Saint Mary's,21,6.8,3.3,0.5,0.4,5241001
Rory Hawke,Saint Mary's,31,10.7,2.5,1.2,0.4,5123978
Mantas Juzenas,Saint Mary's,25,5.8,2.2,1.5,0.3,5313030
Kevin Gad,Saint Mary's,7,10.0,1.4,1.3,0.7,5105421
Cade Bennett,Saint Mary's,8,4.5,1.0,1.0,0.5,5105419
Oliver Faubert,Saint Mary's,10,1.9,0.2,0.0,0.0,5240981
Christian Hammond,Santa Clara,33,30.0,15.8,2.9,2.4,5176359
Elijah Mahi,Santa Clara,34,30.2,13.9,4.7,2.6,5241069
Allen Graves,Santa Clara,34,22.4,11.6,6.5,1.8,5149115
Sash Gavalyugov,Santa Clara,34,19.7,8.8,1.7,2.6,5215425
Bukky Oboye,Santa Clara,33,17.8,8.0,4.2,0.6,5176361
Brenton Knapper,Santa Clara,32,21.8,7.7,1.8,2.3,4897209
Jake Ensminger,Santa Clara,31,28.4,6.3,5.5,2.9,5109789
Thierry Darlan,Santa Clara,34,18.2,6.3,3.6,0.9,5147928
KJ Cochran,Santa Clara,33,12.0,4.8,1.4,0.5,5196879
Brendan Yarusso,Santa Clara,8,1.3,2.0,0.3,0.0,5109791
Francis Chukwudebelu,Santa Clara,23,7.0,1.5,1.3,0.7,5041940
Juan Reyna,Santa Clara,1,2.0,0.0,2.0,0.0,4897872
Gavin Doty,Siena,34,36.7,17.9,7.0,2.2,5242926
Justice Shoats,Siena,34,35.4,13.2,2.5,4.4,5242922
Francis Folefac,Siena,34,27.7,11.1,5.2,2.2,5314195
Tasman Goodrick,Siena,9,23.3,9.7,7.3,1.3,5178209
Brendan Coyle,Siena,34,30.3,8.6,4.6,1.0,5107811
Antonio Chandler,Siena,29,22.1,7.3,5.6,0.4,5314192
Christian Jones,Siena,34,17.5,4.3,0.8,1.2,5314193
Riley Mulvey,Siena,25,17.2,3.8,3.9,1.5,4685004
Isaiah Henderson,Siena,28,13.7,3.8,0.8,0.5,5314191
Owen Schlager,Siena,5,10.0,2.8,1.2,0.6,5314194
Tajae Jones,Siena,3,5.0,1.3,0.7,0.0,5242925
Marcus Jackson,Siena,6,7.5,0.5,2.0,0.7,5106044
Chris Torres,Siena,6,1.7,0.3,0.0,0.2,5242923
Mosi Clayton,Siena,3,2.3,0.0,0.0,0.0,5177164
Cooper Nadler,Siena,2,3.5,0.0,1.0,0.0,5242929
Danny Murray,Siena,4,1.5,0.0,0.0,0.0,5314196
Wes Enis,South Florida,31,34.1,16.8,3.6,2.5,5313560
Izaiyah Nelson,South Florida,33,27.1,15.7,9.6,1.2,5107251
Joseph Pinion,South Florida,33,29.9,14.2,3.8,2.3,4699760
Josh Omojafo,South Florida,33,27.3,11.5,5.3,1.8,5241690
CJ Brown,South Florida,33,26.9,11.1,3.9,4.8,5183925
Isaiah Jones,South Florida,33,15.5,4.5,2.9,0.5,4067423
Daimion Collins,South Florida,32,14.4,4.2,3.2,0.4,4611412
Gavin Hightower,South Florida,25,9.6,3.8,1.6,1.7,5101765
Adriel Nyorha,South Florida,26,10.9,3.7,1.7,2.0,5313563
Devin Haid,South Florida,23,10.0,3.3,2.0,0.8,5241694
Caleb Sanders,South Florida,11,7.5,2.8,1.5,0.7,5313561
Xavier Brown,South Florida,3,12.3,2.7,0.7,1.7,5107222
Tristan Beckford,South Florida,21,7.2,2.6,1.7,0.3,5313562
Onyx Nnani,South Florida,1,1.0,0.0,1.0,0.0,5196957
Zuby Ejiofor,St. John's,34,29.7,16.3,7.1,3.5,5106262
Bryce Hopkins,St. John's,34,28.5,13.5,6.2,2.0,4565698
Oziyah Sellers,St. John's,34,28.9,10.7,2.9,1.7,5105642
Ian Jackson,St. John's,33,18.5,9.6,2.3,1.2,4869770
Joson Sanon,St. John's,34,21.3,8.3,2.6,0.6,5142625
Dillon Mitchell,St. John's,34,27.7,8.2,7.0,3.1,5106283
Dylan Darling,St. John's,32,21.0,7.0,2.5,2.5,5105658
Ruben Prey,St. John's,34,10.5,3.9,1.9,0.9,5240539
Lefteris Liotopoulos,St. John's,27,8.0,3.1,1.0,0.4,5145712
Sadiku Ibine Ayo,St. John's,28,8.2,1.9,1.1,0.5,5107197
Kelvin Odih,St. John's,10,5.3,1.5,1.9,0.2,5226072
Handje Tamba,St. John's,7,2.4,0.7,0.3,0.3,4896480
Fotis Konstantinidis,St. John's,7,1.1,0.4,0.1,0.1,5312302
Casper Pohto,St. John's,6,4.5,0.3,0.7,0.2,5312301
David Punch,TCU,32,29.7,14.3,6.7,2.1,5164368
Xavier Edmonds,TCU,33,22.9,12.6,6.6,1.2,5311928
Jayden Pierre,TCU,33,30.2,10.5,2.2,2.7,5105619
Micah Robinson,TCU,33,26.3,10.5,4.7,1.7,5037876
Liutauras Lelevicius,TCU,32,23.8,8.4,3.3,0.7,5245624
Brock Harding,TCU,33,31.7,8.0,2.8,5.7,5103589
Tanner Toolson,TCU,33,21.3,8.0,3.2,0.9,5105461
Jace Posey,TCU,26,11.7,4.6,2.4,0.2,5101654
Kayden Edwards,TCU,13,6.7,3.5,0.7,0.6,5101787
RJ Jones,TCU,8,6.8,2.9,0.5,0.9,5175042
Ashton Simmons,TCU,4,4.3,1.3,0.8,0.3,5179086
Vianney Salatchoum,TCU,21,5.4,1.1,0.9,0.1,5242117
Adam Stewart,TCU,4,1.0,0.5,0.3,0.0,5240268
Malick Diallo,TCU,1,7.0,0.0,1.0,0.0,5061583
Trey Stuart,TCU,5,1.0,0.0,0.2,0.0,5106277
Drew McElroy,TCU,3,1.0,0.0,0.0,0.0,5240269
Ja'Kobi Gillespie,Tennessee,33,34.5,18.0,2.8,5.5,5107968
Nate Ament,Tennessee,31,30.2,17.5,6.6,2.5,5164559
J.P. Estrella,Tennessee,29,17.7,10.1,5.2,0.8,5093142
Felix Okpara,Tennessee,31,26.7,7.7,6.2,0.5,5105841
Jaylen Carey,Tennessee,33,18.9,7.4,6.2,1.3,4685687
Bishop Boswell,Tennessee,30,26.2,6.2,4.5,2.9,5101648
DeWayne Brown II,Tennessee,31,15.4,4.9,3.8,0.9,5142710
Amari Evans,Tennessee,31,14.1,4.2,3.1,0.7,5196914
Cade Phillips,Tennessee,10,16.9,3.8,4.0,0.4,4848640
Amaree Abram,Tennessee,23,11.3,3.5,1.5,0.8,5105544
Ethan Burg,Tennessee,27,10.1,2.6,0.9,1.1,5311527
Troy Henderson,Tennessee,25,7.5,2.0,0.5,1.2,5311526
Clarence Massamba,Tennessee,10,3.8,0.4,0.2,0.3,5196942
Grant Hurst,Tennessee,1,2.0,0.0,0.0,0.0,4897332
Gavin Paull,Tennessee,1,2.0,0.0,0.0,0.0,5238228
Campbell Duncan,Tennessee,1,2.0,0.0,1.0,0.0,5238229
Aaron Nkrumah,Tennessee St.,32,31.4,17.6,5.5,3.0,5182573
Travis Harper II,Tennessee St.,32,31.3,17.3,4.3,1.2,5242985
Dante Harris,Tennessee St.,32,32.2,11.7,3.7,4.5,4596531
Antoine Lorick III,Tennessee St.,32,21.1,9.5,5.0,1.0,5242989
Jalen Pitre,Tennessee St.,32,24.2,6.5,6.6,0.9,5105453
Khalil London,Tennessee St.,24,15.3,6.4,1.6,1.1,5105760
Carlous Williams,Tennessee St.,31,19.5,5.7,3.2,0.5,5175727
Jabrion Spikes,Tennessee St.,30,10.6,2.9,1.3,0.3,5314353
Kavien Jones,Tennessee St.,29,10.8,2.8,2.4,0.2,5242991
Jayden Jones,Tennessee St.,4,3.3,1.8,0.3,0.0,5314354
JC Brooks,Tennessee St.,18,7.9,1.7,2.0,0.3,5242986
Damon Howard Jr.,Tennessee St.,20,7.4,1.7,0.7,0.9,5314352
Jean Yvens Lafleur,Tennessee St.,2,6.0,1.0,2.5,0.0,5314355
Alex Garcia,Tennessee St.,9,2.4,0.8,0.1,0.0,5106807
Dailyn Swain,Texas,32,32.2,17.8,7.6,3.4,4848625
Matas Vokietaitis,Texas,32,25.8,15.5,6.8,0.6,5239838
Tramon Mark,Texas,32,27.7,13.5,3.4,1.9,4432243
Jordan Pope,Texas,32,28.5,13.3,2.2,1.9,5105624
Camden Heide,Texas,31,23.1,6.2,2.7,0.6,5105855
Simeon Wilcher,Texas,32,19.7,6.2,1.8,1.8,4683785
Chendall Weaver,Texas,32,21.1,5.7,4.1,1.2,5105486
Nic Codie,Texas,20,15.0,4.0,3.2,0.7,5149083
Lassina Traore,Texas,23,15.6,3.4,5.1,0.6,4897052
Declan Duru Jr.,Texas,12,6.9,1.3,1.2,0.0,5311528
Anthon McDermott,Texas,7,2.9,0.9,0.6,0.3,5191718
Brandon Taylor,Texas,4,1.0,0.8,0.5,0.0,5176687
Cole Bott,Texas,6,1.3,0.5,0.2,0.2,4897760
Rashaun Agee,Texas A&M,32,26.8,14.7,8.9,2.4,4593815
Rylan Griffen,Texas A&M,30,26.0,11.6,2.8,2.6,4683682
Marcus Hill,Texas A&M,32,23.0,10.8,3.2,1.6,5176153
Mackenzie Mgbako,Texas A&M,7,18.7,10.4,4.9,1.3,4683779
Rubén Dominguez,Texas A&M,32,23.3,10.3,2.4,1.4,5311530
Pop Isaacs,Texas A&M,31,22.3,10.1,2.6,2.6,5106285
Zach Clemence,Texas A&M,32,16.5,7.1,3.1,0.8,4683146
Jacari Lane,Texas A&M,31,19.9,6.4,1.8,3.2,5107078
Ali Dibba,Texas A&M,32,15.5,5.6,2.7,0.8,4896862
Josh Holloway,Texas A&M,32,13.1,4.5,1.7,1.8,5176160
