player,team,games_played,mpg,ppg,rpg,apg,espn_id
Jestin Porter,Clemson,34,27.1,9.6,1.8,1.3,5106880
Nick Davidson,Clemson,34,21.7,9.1,4.1,1.1,4699440
Ace Buckner,Clemson,34,19.5,8.4,2.8,1.8,5179085
Dillon Hunter,Clemson,34,28.5,7.5,3.8,3.0,5105445
Zac Foster,Clemson,12,18.6,6.9,2.8,2.5,5237299
Butta Johnson,Clemson,34,20.7,6.2,2.1,1.0,5107144
Jake Wahlin,Clemson,34,20.6,5.4,3.9,0.7,5174977
Chase Thompson,Clemson,34,8.8,2.3,1.1,0.3,5196962
Dallas Thomas,Clemson,21,4.4,2.2,0.4,0.1,4869781
Trent Steinour,Clemson,6,2.5,1.0,1.2,0.0,5196959
Tarris Reed Jr.,Connecticut,29,26.2,13.7,8.1,2.3,5105809
Solo Ball,Connecticut,33,29.1,13.5,3.3,1.6,4895737
Alex Karaban,Connecticut,34,33.8,12.6,5.2,2.3,4917149
Braylon Mullins,Connecticut,27,27.5,12.0,3.5,1.4,5196916
Silas Demary Jr.,Connecticut,34,29.1,10.9,4.5,6.2,5054083
Eric Reibe,Connecticut,34,15.0,6.8,3.8,0.5,5152763
Jayden Ross,Connecticut,32,16.9,4.7,2.4,0.8,4895753
Jaylin Stewart,Connecticut,28,17.7,4.5,2.8,1.2,4685647
Malachi Smith,Connecticut,34,15.0,3.5,1.5,2.7,4683861
Dwayne Koroma,Connecticut,16,5.6,1.5,0.9,0.2,4703011
Alec Millender,Connecticut,16,3.1,0.6,0.3,0.4,5241657
Jacob Furphy,Connecticut,13,2.5,0.5,0.1,0.0,5248294
Uroš Paunovic,Connecticut,13,1.0,0.2,0.1,0.1,5307570
Rrezon Elezaj,Connecticut,4,1.0,0.0,0.8,0.0,5312036
Cameron Boozer,Duke,34,33.0,22.5,10.2,4.2,5041935
Isaiah Evans,Duke,34,27.9,14.9,3.1,1.4,5061585
Patrick Ngongba II,Duke,29,22.4,10.7,6.0,1.9,4873209
Caleb Foster,Duke,31,25.4,8.5,3.6,2.8,4711256
Cayden Boozer,Duke,34,21.8,7.1,2.1,2.8,5041937
Dame Sarr,Duke,34,22.9,6.3,3.7,1.0,5287474
Nikolas Khamenia,Duke,34,19.5,5.8,3.4,1.1,5144124
Maliq Brown,Duke,34,19.9,4.8,4.9,1.8,5105337
Darren Harris,Duke,32,10.3,3.7,0.9,0.4,4873107
Ifeanyi Ufochukwu,Duke,5,4.4,0.8,0.6,0.0,5107141
Cameron Sheffield,Duke,14,3.0,0.6,0.5,0.1,4432321
Jack Scott,Duke,14,2.7,0.6,0.9,0.1,4888720
Thomas Haugh,Florida,32,33.5,17.1,6.2,2.0,5080489
Alex Condon,Florida,32,30.6,15.0,7.7,3.5,5174657
Boogie Fland,Florida,33,30.0,11.6,2.5,3.4,5238195
Xaivian Lee,Florida,33,27.5,11.5,3.8,4.2,5107169
Rueben Chinyelu,Florida,33,24.8,11.2,11.5,0.7,5174971
Urban Klavzar,Florida,33,20.9,9.7,1.5,1.2,5238200
Isaiah Brown,Florida,31,12.6,5.5,2.5,0.6,5144372
Micah Handlogten,Florida,32,14.8,4.1,5.9,0.7,5108992
CJ Ingram,Florida,20,5.3,1.9,0.8,0.5,5217184
Cooper Josefsberg,Florida,2,1.0,1.5,1.0,0.0,5174660
Viktor Mikic,Florida,16,2.6,1.3,0.8,0.3,5238201
Alex Lloyd,Florida,16,4.7,1.2,0.8,0.2,5041948
Olivier Rioux,Florida,10,1.5,0.5,0.4,0.0,5184753
Alex Kovatchev,Florida,14,3.1,0.2,0.3,0.1,5175405
Alex Wilkins,Furman,34,29.6,17.7,2.0,4.7,5314511
Cooper Bowser,Furman,24,29.5,14.0,6.0,1.7,5176136
Asa Thomas,Furman,27,27.7,12.4,3.9,1.9,4895755
Charles Johnston,Furman,34,28.6,9.8,9.1,1.8,5243230
Tom House,Furman,32,24.8,8.1,2.8,1.7,4896557
Ben Vander Wal,Furman,33,28.2,7.3,5.5,2.3,5107369
Eddrin Bronson,Furman,33,19.2,5.6,1.7,1.2,5176133
Cole Bowser,Furman,19,22.8,5.1,5.5,0.6,5314509
