player,team,espn_id,entry,r64,r32,s16,e8,f4,championship,games_played,total_points,alive,in_tournament_injury
Tavion Banks,Iowa,5241363,Rich,6,20,2,5,,,4,33,0,
Milan Momcilovic,Iowa St.,4848637,John & Claire,17,20,6,,,,3,43,0,
Tamin Lipsey,Iowa St.,5106254,Matt D.,3,26,18,,,,3,47,0,
Blake Buchanan,Iowa St.,5079838,Michael D.,11,9,8,,,,3,28,0,
Joshua Jefferson,Iowa St.,4870564,Michael D.,2,0,0,,,,3,2,0,Injured during R64; missed remainder
Jamarion Batemon,Iowa St.,5217196,Terry,8,3,2,,,,3,13,0,
Killyan Toure,Iowa St.,5248302,John & Claire,25,10,9,,,,3,44,0,
Bryson Tiller,Kansas,5041958,Matt D.,6,0,,,,,2,6,0,
Darryn Peterson,Kansas,5041955,Matt D.,28,21,,,,,2,49,0,
Flory Bidunga,Kansas,5044426,Michael D.,6,12,,,,,2,18,0,
Melvin Council Jr.,Kansas,5177301,Michael D.,4,15,,,,,2,19,0,
Tre White,Kansas,5105643,Schlossbergs,12,4,,,,,2,16,0,
RJ Johnson,Kennesaw St.,,Grace & Pat,15,,,,,,1,15,0,
Denzel Aberdeen,Kentucky,5105527,Bruce & Ryan,16,20,,,,,2,36,0,
Otega Oweh,Kentucky,5106270,Elizabeth,35,18,,,,,2,53,0,
Collin Chandler,Kentucky,5238207,Schlossbergs,5,6,,,,,2,11,0,
J'Vonne Hadley,Louisville,4702784,Alana & Gary,10,2,,,,,2,12,0,
Sananda Fru,Louisville,5311967,Elizabeth,10,2,,,,,2,12,0,
Adrian Wooley,Louisville,5242127,Griffin,4,17,,,,,2,21,0,
Isaac McKneely,Louisville,4712845,Griffin,23,9,,,,,2,32,0,
Ryan Conwell,Louisville,5107157,Rich,18,21,,,,,2,39,0,
Larry Johnson,McNeese,5144375,Alana & Gary,15,,,,,,1,15,0,
Malik Reneau,Miami FL,5105798,Bruce & Ryan,24,16,,,,,2,40,0,
Tru Washington,Miami FL,4845368,Matt D.,9,11,,,,,2,20,0,
Shelton Henderson,Miami FL,5101809,Michael D.,15,18,,,,,2,33,0,
Tre Donaldson,Miami FL,4837356,Zach,17,13,,,,,2,30,0,
Eian Elmer,Miami OH,5093252,Grace & Pat,4,,,,,,1,4,0,
Brant Byers,Miami OH,5243053,Matt D.,9,,,,,,1,9,0,
Peter Suder,Miami OH,5106674,Merbers,27,,,,,,1,27,0,
Yaxel Lendeborg,Michigan,5175737,Alana & Gary,9,25,23,27,11,13,6,108,0,
Nimari Burnett,Michigan,4433138,Lucas,15,11,2,10,6,4,6,48,0,
Trey McKenney,Michigan,5041954,Matt D.,10,8,17,12,16,9,6,72,0,
Elliot Cadeau,Michigan,4869764,Merbers,5,12,17,8,13,19,6,74,0,
Roddy Gayle Jr.,Michigan,5105836,Rich,14,3,16,8,9,4,6,54,0,
Morez Johnson Jr.,Michigan,4873153,Schlossbergs,21,15,7,12,10,12,6,77,0,
