player,team,entry,team_games,player_games,actual_pts,round_scores,signals,confidence,current_flag
Joshua Jefferson,Iowa St.,Michael D.,3,3,2,"2,0,0",actual 2 vs proj 63 (3%),40,Injured during R64; missed remainder
Tyler Bilodeau,UCLA,Matt D.,2,2,0,"0,0",actual 0 vs proj 35 (0%),40,Injured during tournament; played 0 minutes (confirmed)
