round,pick,entry,player,team
9,129,Bruce & Ryan,Jaylen Petty,Texas Tech
9,130,Grace & Pat,Tavari Johnson,Akron
9,131,Zach,Wes Enis,South Florida
9,132,Elizabeth,Lazar Djokovic,VCU
9,133,John & Claire,Jordan Scott,Michigan St.
9,134,Schlossbergs,Sam Hoiberg,Nebraska
9,135,Michael D.,Shelton Henderson,Miami FL
10,136,Michael D.,D.J. Wagner,Arkansas
10,137,Schlossbergs,Devin McGlockton,Vanderbilt
10,138,John & Claire,Luka Bogavac,North Carolina
10,139,Elizabeth,Riley Kugel,UCF
10,140,Zach,John Mobley Jr.,Ohio St.
10,141,Grace & Pat,Zvonimir Ivisic,Illinois
10,142,Bruce & Ryan,Denzel Aberdeen,Kentucky
10,143,Spike,Cruz Davis,Hofstra
10,144,Matt D.,Brant Byers,Miami OH
10,145,Griffin,Ian Jackson,St. John's
10,146,Rich,Christian Hammond,Santa Clara
10,147,Alana & Gary,Skyy Clark,UCLA
10,148,Terry,Robbie Avila,Saint Louis
10,149,Merbers,Joson Sanon,St. John's
10,150,Lucas,Matas Vokietaitis,Texas
11,151,Lucas,Kanon Catchings,Georgia
11,152,Merbers,Eric Dailey Jr.,UCLA
11,153,Terry,Izaiyah Nelson,South Florida
11,154,Alana & Gary,Larry Johnson,McNeese
11,155,Rich,Jalen Washington,Vanderbilt
11,156,Griffin,Isaac McKneely,Louisville
11,157,Matt D.,Tru Washington,Miami FL
11,158,Spike,Johann Grunloh,Virginia
11,159,Bruce & Ryan,Elijah Mahi,Santa Clara
11,160,Grace & Pat,RJ Johnson,Kennesaw St.
11,161,Zach,Adam Miller,Gonzaga
11,162,Elizabeth,Xavier Edmonds,TCU
11,163,John & Claire,Amani Lyles,Akron
11,164,Schlossbergs,Collin Chandler,Kentucky
11,165,Michael D.,Tyler Perkins,Villanova
12,166,Michael D.,Dillon Mitchell,St. John's
12,167,Schlossbergs,Daniel Jacobsen,Purdue
12,168,John & Claire,Braeden Carrington,Wisconsin
12,169,Elizabeth,Joseph Pinion,South Florida
12,170,Zach,Joshua Dent,Saint Mary's
12,171,Grace & Pat,Ben Humrichous,Illinois
12,172,Bruce & Ryan,Isaiah Brown,Florida
12,173,Spike,Devin Royal,Ohio St.
12,174,Matt D.,Bryce Lindsay,Villanova
