rank,player,espn_id,team,seed,region,ppg,expected_games,injury_status,projected_points
288,Will Hornseth,5241409,Northern Iowa,12,East,11.2,1.2007746892837103,HEALTHY,13.4
289,Victor Valdes,5176736,Troy,13,South,13.4,1.061365531097464,HEALTHY,13.4
290,Michael Cooper,5314630,Wright St.,14,Midwest,13.3,1.0608709591867682,HEALTHY,13.4
291,Sash Gavalyugov,5215425,Santa Clara,10,Midwest,8.8,1.5799635617998462,HEALTHY,13.3
292,Eian Elmer,5093252,Miami OH,11,Midwest,12.6,1.1490672616807558,HEALTHY,13.3
293,Nick Davidson,4699440,Clemson,8,South,9.1,1.4821492990678407,HEALTHY,13.2
294,Brandon Jennings,5239713,VCU,11,South,8.7,1.528632640283778,HEALTHY,13.1
295,Cale Jacobsen,5105827,Nebraska,4,South,4.8,2.6952359245714788,HEALTHY,13.1
296,Nyk Lewis,5311890,VCU,11,South,8.7,1.528632640283778,HEALTHY,13.1
297,Ernest Udeh Jr.,5106261,Miami FL,7,West,6.9,1.8776178676640867,HEALTHY,13.0
298,DeWayne Brown II,5142710,Tennessee,6,Midwest,4.9,2.5670186615697825,HEALTHY,12.9
299,Braden Huff,4894445,Gonzaga,3,West,16.4,3.047385403763646,OUT,12.9
300,Evan Mahaffey,5105847,Akron,12,Midwest,10.2,1.2931262162238186,HEALTHY,12.9
301,Braden East,5242573,Kennesaw St.,14,West,13.2,1.0486320822090252,HEALTHY,12.8
302,T.O. Barrett,5144166,Missouri,10,West,8.9,1.426436796426509,HEALTHY,12.8
303,Cam'Ron Fletcher,4432182,High Point,12,West,10.7,1.1776837815335008,HEALTHY,12.7
304,Jaylin Stewart,4685647,Connecticut,2,East,4.5,3.219274002088891,DAY-TO-DAY,12.7
305,Yoav Berman,5240006,Queens,15,West,12.8,1.0248230731436103,HEALTHY,12.7
306,Anthony Robinson II,5054085,Missouri,10,West,8.8,1.426436796426509,HEALTHY,12.7
307,Jacoi Hutchinson,4845378,LIU,16,West,13.7,1.0087505174256424,HEALTHY,12.6
308,Cam Manyawu,5176283,Iowa,9,South,7.1,1.8016798089121213,HEALTHY,12.5
309,Theo Seng,4897957,Troy,13,South,12.5,1.061365531097464,HEALTHY,12.5
310,Martel Williams,4702158,Cal Baptist,13,East,11.6,1.1208119328195636,HEALTHY,12.4
311,Jacob Crews,4432515,Missouri,10,West,8.6,1.426436796426509,HEALTHY,12.4
312,Aleksas Bieliauskas,5312048,Wisconsin,5,West,5.0,2.3923127402223368,HEALTHY,12.4
313,Drake Allen,5105494,Utah St.,9,West,7.7,1.6580742799109198,HEALTHY,12.3
314,Harry Rouhliadeff,5107204,Hawaii,13,West,10.8,1.1122712394569803,HEALTHY,12.3
315,Justice Shoats,5242922,Siena,16,East,13.6,1.0104217789334686,HEALTHY,12.3
316,Biggie Patterson,5241495,Hofstra,13,Midwest,9.5,1.187657446775464,HEALTHY,12.3
317,Jackson Rasmussen,5237588,Idaho,15,South,13.5,1.0268929008951702,HEALTHY,12.3
318,Devin Tillis,4703393,Virginia,3,Midwest,4.3,2.7948047274761754,HEALTHY,12.2
319,Kolby King,5105604,Utah St.,9,West,7.6,1.6580742799109198,HEALTHY,12.2
320,Ace Buckner,5179085,Clemson,8,South,8.4,1.4821492990678407,HEALTHY,12.2
321,Dante Allen,5142709,Miami FL,7,West,6.4,1.8776178676640867,HEALTHY,12.1
322,Kolton Mitchell,5176318,Idaho,15,South,13.3,1.0268929008951702,HEALTHY,12.1
323,Cory Wells,4904928,Prairie View A&M,16,South,13.1,1.0067552530800046,HEALTHY,12.1
324,Brandon Noel,4702994,Ohio St.,8,East,7.1,1.7889237383557972,HEALTHY,12.1
325,Bukky Oboye,5176361,Santa Clara,10,Midwest,8.0,1.5799635617998462,HEALTHY,12.1
326,Markhi Strickland,4432494,North Dakota St.,14,East,11.8,1.0724002907644616,HEALTHY,12.0
327,German Plotnikov,5105719,Hofstra,13,Midwest,9.3,1.187657446775464,HEALTHY,12.0
328,Nick Pringle,4703887,Arkansas,4,West,4.6,2.6680424898108748,HEALTHY,12.0
329,Michael Imariagbe,4707481,Wright St.,14,Midwest,11.8,1.0608709591867682,HEALTHY,11.9
330,Elmarko Jackson,4872739,Kansas,4,East,4.9,2.5159104208797536,HEALTHY,11.9
331,Elijah Tucker,4684309,LIU,16,West,12.9,1.0087505174256424,HEALTHY,11.9
332,Trey Fort,4703411,Michigan St.,3,East,3.8,3.0944520767617063,HEALTHY,11.9
333,Ben Schwieger,4897474,Northern Iowa,12,East,9.9,1.2007746892837103,HEALTHY,11.8
334,Jordan Watford,5144110,Queens,15,West,11.9,1.0248230731436103,HEALTHY,11.8
335,Khani Rooths,4873187,Louisville,6,East,5.5,2.1870154085088043,HEALTHY,11.7
336,Brenton Knapper,4897209,Santa Clara,10,Midwest,7.7,1.5799635617998462,HEALTHY,11.6
337,Chris Ashby,5107088,Queens,15,West,11.7,1.0248230731436103,HEALTHY,11.6
338,Malachi Smith,4683861,Connecticut,2,East,3.5,3.219274002088891,HEALTHY,11.6
339,Michael Zanoni,5108877,Penn,14,South,11.6,1.0315226931276236,HEALTHY,11.6
340,Keba Keita,5105647,BYU,6,West,6.3,1.862898980650907,HEALTHY,11.6
341,Liutauras Lelevicius,5245624,TCU,9,East,8.4,1.4134181836532724,HEALTHY,11.5
342,Isaiah Brickner,5107768,Idaho,15,South,12.5,1.0268929008951702,HEALTHY,11.4
343,Luke Bamgboye,5061581,Texas Tech,5,Midwest,4.7,2.304264390636621,HEALTHY,11.4
344,Andrew Holifield,5116468,Kennesaw St.,14,West,11.7,1.0486320822090252,HEALTHY,11.4
345,Michael Belle,5174672,VCU,11,South,7.5,1.528632640283778,HEALTHY,11.3
346,Owen Aquino,5242131,High Point,12,West,9.4,1.1776837815335008,HEALTHY,11.2
347,Avantae Parker,5176801,Queens,15,West,11.3,1.0248230731436103,HEALTHY,11.2
348,Josiah Moseley,5152656,Texas Tech,5,Midwest,4.6,2.304264390636621,HEALTHY,11.2
349,Shawn Phillips Jr.,5105537,Missouri,10,West,7.7,1.426436796426509,HEALTHY,11.1
350,Biko Johnson,5177021,Idaho,15,South,12.2,1.0268929008951702,HEALTHY,11.1
351,Conrad Martinez,5174957,High Point,12,West,9.3,1.1776837815335008,HEALTHY,11.1
352,Amari Evans,5196914,Tennessee,6,Midwest,4.2,2.5670186615697825,HEALTHY,11.1
353,Tanner Toolson,5105461,TCU,9,East,8.0,1.4134181836532724,HEALTHY,11.0
354,Brock Harding,5103589,TCU,9,East,8.0,1.4134181836532724,HEALTHY,11.0
355,Derek Dixon,5144097,North Carolina,6,South,6.4,1.721717945536111,HEALTHY,11.0
356,Barry Evans,5105987,VCU,11,South,7.2,1.528632640283778,HEALTHY,10.9
357,Dillon Hunter,5105445,Clemson,8,South,7.5,1.4821492990678407,HEALTHY,10.9
358,Garry Clark,5108973,Utah St.,9,West,6.8,1.6580742799109198,HEALTHY,10.9
359,Antwone Woolfolk,5105859,Miami OH,11,Midwest,10.3,1.1490672616807558,HEALTHY,10.9
360,Luke Skaljac,5101653,Miami OH,11,Midwest,10.3,1.1490672616807558,HEALTHY,10.9
361,Tristan Smith,5315806,Northern Iowa,12,East,9.1,1.2007746892837103,HEALTHY,10.8
362,Almar Atlason,5176313,Miami OH,11,Midwest,10.1,1.1490672616807558,HEALTHY,10.7
363,Dante Harris,4596531,Tennessee St.,15,Midwest,11.7,1.0205527912566916,HEALTHY,10.7
364,Jordan Ross,4711402,Georgia,8,Midwest,6.6,1.675608797331239,HEALTHY,10.7
365,Kam Williams,4873183,Kentucky,7,Midwest,6.2,1.7336298535412897,HEALTHY,10.7
366,Gytis Nemeiksa,5175369,Hawaii,13,West,9.3,1.1122712394569803,HEALTHY,10.6
367,Treyson Anderson,5241642,North Dakota St.,14,East,10.4,1.0724002907644616,HEALTHY,10.6
368,Trevian Carson,5314778,North Dakota St.,14,East,10.4,1.0724002907644616,HEALTHY,10.6
369,Isaac Finlinson,5105472,Hawaii,13,West,9.1,1.1122712394569803,HEALTHY,10.4
370,Kael Combs,5176280,Iowa,9,South,5.9,1.8016798089121213,HEALTHY,10.4
371,Adlan Elamin,5195079,Utah St.,9,West,6.5,1.6580742799109198,HEALTHY,10.4
372,Scotty Washington,4896852,High Point,12,West,8.7,1.1776837815335008,HEALTHY,10.3
373,Brady Dunlap,4685659,Saint Louis,9,Midwest,6.8,1.5222445358331,HEALTHY,10.3
374,Sebastian Mack,4711270,Missouri,10,West,7.0,1.426436796426509,HEALTHY,10.1
375,Simeon Wilcher,4683785,Texas,11,West,6.2,1.6048562965221431,HEALTHY,10.1
376,Camden Heide,5105855,Texas,11,West,6.2,1.6048562965221431,HEALTHY,10.1
377,Tate Sage,5311842,Iowa,9,South,5.7,1.8016798089121213,HEALTHY,10.1
378,Carson Schwieger,5177217,Queens,15,West,10.2,1.0248230731436103,HEALTHY,10.1
379,Francis Folefac,5314195,Siena,16,East,11.1,1.0104217789334686,HEALTHY,10.1
380,Bowen Hardman,5105840,Akron,12,Midwest,7.9,1.2931262162238186,HEALTHY,10.0
381,Zac Foster,5237299,Clemson,8,South,6.9,1.4821492990678407,HEALTHY,10.0
382,Cade Phillips,4848640,Tennessee,6,Midwest,3.8,2.5670186615697825,HEALTHY,10.0
383,Solomon Callaghan,5177215,Wright St.,14,Midwest,9.9,1.0608709591867682,HEALTHY,10.0
384,Marcus Allen,4869762,Miami FL,7,West,5.3,1.8776178676640867,HEALTHY,10.0
385,Andrija Jelavic,5281347,Kentucky,7,Midwest,5.8,1.7336298535412897,HEALTHY,10.0
386,Eric Mahaffey,5241471,Akron,12,Midwest,7.8,1.2931262162238186,HEALTHY,9.9
387,DJ Richards Jr.,5106843,McNeese,12,South,8.3,1.1878602559564904,HEALTHY,9.9
388,Jayden Jackson,4897936,Cal Baptist,13,East,9.3,1.1208119328195636,HEALTHY,9.9
389,Johan Nziemi,5175666,LIU,16,West,10.6,1.0087505174256424,HEALTHY,9.8
390,Garwey Dual,5077373,McNeese,12,South,8.2,1.1878602559564904,HEALTHY,9.8
391,Hunter Erickson,4701217,Hawaii,13,West,8.5,1.1122712394569803,HEALTHY,9.7
392,Cam Gillus,5176075,Howard,16,Midwest,10.6,1.0107672076181229,HEALTHY,9.7
393,Noah Feddersen,5107278,North Dakota St.,14,East,9.4,1.0724002907644616,HEALTHY,9.6
394,Ose Okojie,5107986,Howard,16,Midwest,10.5,1.0107672076181229,HEALTHY,9.6
395,Isaia Howard,5241366,Iowa,9,South,5.4,1.8016798089121213,HEALTHY,9.5
396,Charles Johnston,5243230,Furman,15,East,9.8,1.0340250474179207,HEALTHY,9.5
397,Redd Thompson Jr.,5101649,LIU,16,West,10.3,1.0087505174256424,HEALTHY,9.5
398,Zach Clemence,4683146,Texas A&M,10,South,7.1,1.4566855454590613,HEALTHY,9.5
399,Thierry Darlan,5147928,Santa Clara,10,Midwest,6.3,1.5799635617998462,HEALTHY,9.5
400,Jake Ensminger,5109789,Santa Clara,10,Midwest,6.3,1.5799635617998462,HEALTHY,9.5
401,Asa Thomas,4895755,Furman,15,East,9.8,1.0340250474179207,HEALTHY,9.5
402,Andy Stefonowicz,5241640,North Dakota St.,14,East,9.2,1.0724002907644616,HEALTHY,9.4
403,Chendall Weaver,5105486,Texas,11,West,5.7,1.6048562965221431,HEALTHY,9.3
404,Kalifa Sakho,5176274,Houston,2,South,2.5,3.6247274327563526,HEALTHY,9.3
405,Ramon Walker Jr.,4708176,Houston,2,South,2.5,3.6247274327563526,HEALTHY,9.3
406,Lance Williams,4904931,Prairie View A&M,16,South,10.1,1.0067552530800046,HEALTHY,9.3
407,Sharron Young,5241470,Akron,12,Midwest,7.3,1.2931262162238186,HEALTHY,9.3
408,Amaree Abram,5105544,Tennessee,6,Midwest,3.5,2.5670186615697825,HEALTHY,9.2
409,Harry Wessels,5105418,Saint Mary's,7,South,4.9,1.857199447542232,HEALTHY,9.1
410,Ruben Prey,5240539,St. John's,5,East,3.9,2.5313694084806024,HEALTHY,9.1
411,Dominic Pangonis,5243109,Wright St.,14,Midwest,9.0,1.0608709591867682,HEALTHY,9.1
412,Cobi Campbell,5240746,Troy,13,South,9.0,1.061365531097464,HEALTHY,9.0
413,Butta Johnson,5107144,Clemson,8,South,6.2,1.4821492990678407,HEALTHY,9.0
414,Tyeree Bryan,5108120,Texas Tech,5,Midwest,3.7,2.304264390636621,HEALTHY,9.0
415,Jasper Johnson,5095153,Kentucky,7,Midwest,5.2,1.7336298535412897,HEALTHY,8.9
416,Jevon Porter,4684798,Missouri,10,West,6.2,1.426436796426509,HEALTHY,8.9
417,Chandler Bing,5311759,Vanderbilt,5,South,3.6,2.6018970544759368,HEALTHY,8.9
418,Emanuel Richards,5175665,LIU,16,West,9.7,1.0087505174256424,HEALTHY,8.9
419,Keitenn Bristow,5241440,Alabama,4,Midwest,3.6,2.544908801467093,HEALTHY,8.8
420,Kellen Pickett,5314627,Wright St.,14,Midwest,8.7,1.0608709591867682,HEALTHY,8.8
421,Tasman Goodrick,5178209,Siena,16,East,9.7,1.0104217789334686,HEALTHY,8.8
422,Chris Johnson,5175069,UCF,10,East,6.4,1.3981367768674555,HEALTHY,8.7
423,Tyrell Ward,4684733,VCU,11,South,5.8,1.528632640283778,HEALTHY,8.7
424,Antoine Lorick III,5242989,Tennessee St.,15,Midwest,9.5,1.0205527912566916,HEALTHY,8.6
