rank,player,team,seed,region,ppg,expected_games,injury_status,projected_points
118,Jamarion Batemon,Iowa St.,2,Midwest,6.9,3.7831326657358226,HEALTHY,25.1
119,Sam Hoiberg,Nebraska,4,South,9.6,2.6647297297461723,HEALTHY,24.9
120,Boopie Miller,SMU,11,Midwest,19.2,1.332089930268756,HEALTHY,24.5
121,Oziyah Sellers,St. John's,5,East,10.7,2.5403799825471407,HEALTHY,24.5
122,Jacari White,Virginia,3,Midwest,8.8,2.8240741392968687,HEALTHY,24.2
123,AK Okereke,Vanderbilt,5,South,9.8,2.6436211895866046,HEALTHY,24.2
124,Dominique Daniels Jr.,Cal Baptist,13,East,23.2,1.0838739437059797,HEALTHY,24.1
125,Skyy Clark,UCLA,7,East,11.7,2.0135711637048495,HEALTHY,24.0
126,Charles Bediako,Alabama,4,Midwest,10.0,2.5714341331417776,HEALTHY,24.0
127,Zvonimir Ivisic,Illinois,3,South,7.0,3.6025151424206556,HEALTHY,23.9
128,Devin McGlockton,Vanderbilt,5,South,9.7,2.6436211895866046,HEALTHY,23.9
129,Christian Hammond,Santa Clara,10,Midwest,15.8,1.5274404873065817,HEALTHY,23.8
130,Seth Trimble,North Carolina,6,South,14.0,1.7095102517252092,HEALTHY,23.7
131,Joshua Dent,Saint Mary's,7,South,13.0,1.8292661416347202,HEALTHY,23.5
132,Isaac McKneely,Louisville,6,East,10.6,2.314394940181925,HEALTHY,23.5
133,J.P. Estrella,Tennessee,6,Midwest,10.1,2.3022837227775246,HEALTHY,23.4
134,Eric Dailey Jr.,UCLA,7,East,11.3,2.0135711637048495,HEALTHY,23.2
135,Adam Miller,Gonzaga,3,West,7.6,3.063380154355378,HEALTHY,23.1
136,Kur Teng,Michigan St.,3,East,7.7,3.0781569928041943,HEALTHY,23.1
137,Daniel Jacobsen,Purdue,2,West,6.2,3.6889392640294383,HEALTHY,22.9
138,Austin Rapp,Wisconsin,5,West,9.6,2.359319689960756,HEALTHY,22.9
139,Jaylen Petty,Texas Tech,5,Midwest,9.5,2.3132794264549643,HEALTHY,22.8
140,Jalen Washington,Vanderbilt,5,South,9.2,2.6436211895866046,HEALTHY,22.7
141,Tru Washington,Miami FL,7,West,12.1,1.8666422793359014,HEALTHY,22.6
142,Jaron Pierre Jr.,SMU,11,Midwest,17.6,1.332089930268756,HEALTHY,22.5
143,Devin Royal,Ohio St.,8,East,13.7,1.7609865875295259,HEALTHY,22.5
144,Denzel Aberdeen,Kentucky,7,Midwest,13.2,1.715176414913244,HEALTHY,22.3
145,Ian Jackson,St. John's,5,East,9.6,2.5403799825471407,HEALTHY,21.9
146,Paul McNeil Jr.,N.C. State,11,West,13.9,1.5852603144620252,HEALTHY,21.9
147,Quadir Copeland,N.C. State,11,West,13.9,1.5852603144620252,HEALTHY,21.9
148,Ven-Allen Lubin,N.C. State,11,West,13.9,1.5852603144620252,HEALTHY,21.9
149,Darrion Williams,N.C. State,11,West,13.8,1.5852603144620252,HEALTHY,21.8
150,Omer Mayer,Purdue,2,West,5.9,3.6889392640294383,HEALTHY,21.8
151,Eric Reibe,Connecticut,2,East,6.8,3.2550121335565096,HEALTHY,21.7
152,Blue Cain,Georgia,8,Midwest,13.3,1.6624206907953474,HEALTHY,21.0
153,Maliq Brown,Duke,1,East,4.8,4.71381996158028,HEALTHY,21.0
154,Wes Enis,South Florida,11,East,16.7,1.280345337824454,HEALTHY,21.0
155,Ben Humrichous,Illinois,3,South,6.1,3.6025151424206556,HEALTHY,20.9
156,Terrence Hill Jr.,VCU,11,South,14.4,1.4760090682150464,HEALTHY,20.7
157,Tyler Perkins,Villanova,8,West,13.7,1.5121596016637524,HEALTHY,20.4
158,Sananda Fru,Louisville,6,East,9.2,2.314394940181925,HEALTHY,20.4
159,Elijah Mahi,Santa Clara,10,Midwest,13.9,1.5274404873065817,HEALTHY,20.1
160,Braeden Carrington,Wisconsin,5,West,8.4,2.359319689960756,HEALTHY,20.0
161,Izaiyah Nelson,South Florida,11,East,15.8,1.280345337824454,HEALTHY,19.9
162,Larry Johnson,McNeese,12,South,17.5,1.1361712716664654,HEALTHY,19.8
163,Lazar Djokovic,VCU,11,South,13.8,1.4760090682150464,HEALTHY,19.8
164,Isaiah Brown,Florida,1,South,5.5,3.9645621896253296,HEALTHY,19.8
165,Jake Davis,Illinois,3,South,5.8,3.6025151424206556,HEALTHY,19.8
166,Johann Grunloh,Virginia,3,Midwest,7.2,2.8240741392968687,HEALTHY,19.8
167,Preston Edmead,Hofstra,13,Midwest,15.9,1.1364812086110605,HEALTHY,19.5
168,D.J. Wagner,Arkansas,4,West,7.5,2.730776269440317,HEALTHY,19.4
169,Frankie Collins,Vanderbilt,5,South,7.8,2.6436211895866046,HEALTHY,19.2
170,Bryson Tiller,Kansas,4,East,8.2,2.5098160728168875,HEALTHY,19.1
171,Joson Sanon,St. John's,5,East,8.3,2.5403799825471407,HEALTHY,19.0
172,Rashaun Agee,Texas A&M,10,South,14.7,1.4118253978526154,HEALTHY,18.9
173,Kanon Catchings,Georgia,8,Midwest,12.0,1.6624206907953474,HEALTHY,18.9
174,Adrian Wooley,Louisville,6,East,8.5,2.314394940181925,HEALTHY,18.9
175,Marcus Millender,Georgia,8,Midwest,11.9,1.6624206907953474,HEALTHY,18.8
176,David Punch,TCU,9,East,14.3,1.3781636306788012,HEALTHY,18.8
177,Riley Kugel,UCF,10,East,14.4,1.350172172537014,HEALTHY,18.7
178,Dillon Mitchell,St. John's,5,East,8.2,2.5403799825471407,HEALTHY,18.7
179,Robbie Avila,Saint Louis,9,Midwest,12.9,1.473201078512114,HEALTHY,18.6
180,Duke Brennan,Villanova,8,West,12.4,1.5121596016637524,HEALTHY,18.4
181,Ugonna Onyenso,Virginia,3,Midwest,6.7,2.8240741392968687,HEALTHY,18.4
182,Themus Fulks,UCF,10,East,14.1,1.350172172537014,HEALTHY,18.3
183,Acaden Lewis,Villanova,8,West,12.3,1.5121596016637524,HEALTHY,18.3
184,Ugnius Jarusevicius,Nebraska,4,South,7.0,2.6647297297461723,HEALTHY,18.2
185,Jayden Stone,Missouri,10,West,13.2,1.3745380460522134,HEALTHY,18.1
186,Tavion Banks,Iowa,9,South,10.5,1.7814513301612496,HEALTHY,18.1
187,Christoph Tilly,Ohio St.,8,East,11.0,1.7609865875295259,HEALTHY,18.1
188,Terry Anderson,High Point,12,West,16.0,1.1311220369131678,HEALTHY,18.1
189,Felix Okpara,Tennessee,6,Midwest,7.7,2.3022837227775246,HEALTHY,17.9
190,Bryce Lindsay,Villanova,8,West,11.9,1.5121596016637524,HEALTHY,17.7
191,Emmanuel Innocenti,Gonzaga,3,West,5.8,3.063380154355378,HEALTHY,17.7
192,Jordan Scott,Michigan St.,3,East,5.9,3.0781569928041943,HEALTHY,17.7
193,Gicarri Harris,Purdue,2,West,4.8,3.6889392640294383,HEALTHY,17.7
194,Joseph Pinion,South Florida,11,East,14.5,1.280345337824454,HEALTHY,17.6
195,Dwayne Aristode,Arizona,1,West,4.1,4.632140350754658,HEALTHY,17.5
196,Mercy Miller,Houston,2,South,4.8,3.7245278533699917,HEALTHY,17.4
197,Jack Benter,Purdue,2,West,4.7,3.6889392640294383,HEALTHY,17.3
198,Rob Martin,High Point,12,West,15.3,1.1311220369131678,HEALTHY,17.3
199,Amani Lyles,Akron,12,Midwest,14.6,1.2392503962740795,HEALTHY,17.3
200,Jaylen Carey,Tennessee,6,Midwest,7.4,2.3022837227775246,HEALTHY,17.2
201,Nate Heise,Iowa St.,2,Midwest,4.7,3.7831326657358226,HEALTHY,17.1
202,Nasir Whitlock,Lehigh,16,South,21.0,1.0025418670906272,HEALTHY,17.1
203,Will Tschetter,Michigan,1,Midwest,4.0,4.614685787416446,HEALTHY,17.0
204,Jordan Burks,UCF,10,East,13.0,1.350172172537014,HEALTHY,16.9
205,Allen Graves,Santa Clara,10,Midwest,11.6,1.5274404873065817,HEALTHY,16.8
206,Collin Chandler,Kentucky,7,Midwest,9.9,1.715176414913244,HEALTHY,16.7
207,Karter Knox,Arkansas,4,West,8.1,2.730776269440317,RETURNING,16.7
208,Jalen Warley,Gonzaga,3,West,6.8,3.063380154355378,RETURNING,16.6
209,Xavier Edmonds,TCU,9,East,12.6,1.3781636306788012,HEALTHY,16.6
210,Berke Buyuktuncel,Nebraska,4,South,6.4,2.6647297297461723,HEALTHY,16.6
211,Luka Bogavac,North Carolina,6,South,9.8,1.7095102517252092,HEALTHY,16.6
212,RJ Godfrey,Clemson,8,South,11.9,1.4382896380945465,HEALTHY,16.5
213,Braeden Smith,Gonzaga,3,West,5.4,3.063380154355378,HEALTHY,16.4
214,Dominykas Pleta,Iowa St.,2,Midwest,4.5,3.7831326657358226,HEALTHY,16.4
215,Darren Harris,Duke,1,East,3.7,4.71381996158028,HEALTHY,16.2
216,Dallin Hall,Virginia,3,Midwest,5.9,2.8240741392968687,HEALTHY,16.2
217,Dion Brown,Saint Louis,9,Midwest,11.1,1.473201078512114,HEALTHY,16.0
218,Trey Green,Saint Louis,9,Midwest,11.1,1.473201078512114,HEALTHY,16.0
