pick,player,team,entry,actual_pts,value_score
108,Mark Mitchell,Missouri,John & Claire,19,-32.0
109,Mason Falslev,Utah St.,Elizabeth,30,-20.5
110,Tre Donaldson,Miami FL,Zach,30,-20.0
111,Dominique Daniels Jr.,Cal Baptist,Grace & Pat,25,-24.5
112,Braden Frager,Nebraska,Bruce & Ryan,44,-5.0
113,Oziyah Sellers,St. John's,Spike,19,-29.5
114,Trent Perry,UCLA,Matt D.,20,-28.0
115,LeJuan Watts,Texas Tech,Griffin,30,-17.5
116,Donovan Dent,UCLA,Rich,21,-26.0
117,J'Vonne Hadley,Louisville,Alana & Gary,12,-34.5
118,David Punch,TCU,Terry,20,-26.0
119,Kur Teng,Michigan St.,Merbers,10,-35.5
120,Rashaun Agee,Texas A&M,Lucas,29,-16.0
121,Terrence Hill Jr.,VCU,Lucas,51,6.5
122,Jeremiah Wilkinson,Georgia,Merbers,30,-14.0
123,Jamarion Batemon,Iowa St.,Terry,13,-30.5
124,Mario Saint-Supery,Gonzaga,Alana & Gary,16,-27.0
125,Chance Mallory,Virginia,Rich,12,-30.5
126,Davis Fogle,Gonzaga,Griffin,23,-19.0
127,Jamarques Lawrence,Nebraska,Matt D.,31,-10.5
128,Jacari White,Virginia,Spike,36,-5.0
129,Jaylen Petty,Texas Tech,Bruce & Ryan,33,-7.5
130,Tavari Johnson,Akron,Grace & Pat,4,-36.0
131,Wes Enis,South Florida,Zach,4,-35.5
132,Lazar Djokovic,VCU,Elizabeth,17,-22.0
133,Jordan Scott,Michigan St.,John & Claire,15,-23.5
134,Sam Hoiberg,Nebraska,Schlossbergs,18,-20.0
135,Shelton Henderson,Miami FL,Michael D.,33,-4.5
136,D.J. Wagner,Arkansas,Michael D.,16,-21.0
137,Devin McGlockton,Vanderbilt,Schlossbergs,15,-21.5
138,Luka Bogavac,North Carolina,John & Claire,8,-28.0
139,Riley Kugel,UCF,Elizabeth,13,-22.5
140,John Mobley Jr.,Ohio St.,Zach,15,-20.0
141,Zvonimir Ivisic,Illinois,Grace & Pat,14,-20.5
142,Denzel Aberdeen,Kentucky,Bruce & Ryan,36,2.0
143,Cruz Davis,Hofstra,Spike,14,-19.5
144,Brant Byers,Miami OH,Matt D.,9,-24.0
145,Ian Jackson,St. John's,Griffin,24,-8.5
